контракт;ресурс;сумма;услуга;группа услуг;тариф;норматив;№ прич. Перерасчета
50129522063;;-1317,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129509064;;-1654,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508065;;-1215,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129599066;;-1027;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502067;;-749,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129573068;;-637;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580069;;-1321,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502070;;-1651;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129599071;;-1212,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508072;;-1020,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129509073;;-750,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522074;;-641,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129527075;;-1321,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129520076;;-1649,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513077;;-1215,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594078;;-1018,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129591079;;-553,3911290323;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129583793;;-192,4888709677;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129589080;;-640,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594081;;-1319,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129587082;;-1642,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580083;;-1215,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129569084;;-826,9153225806;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129570794;;-198,4596774194;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566085;;-745,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129575086;;-641,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576087;;-1324,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129597088;;-1642,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502089;;-1218,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576090;;-1027;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129575091;;-744,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566092;;-643,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129569093;;-1317,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580094;;-1631,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129587095;;-1209;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594096;;-1022,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129589097;;-739,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129516098;;-630,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515099;;-1321,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502100;;-1641,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129599101;;-1218,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508102;;-1488,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129509103;;-858;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522104;;-1321,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129527105;;-1646,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129520106;;-1220,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513107;;-1490,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594108;;-858;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129591109;;-1345,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513110;;-1660,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129520111;;-1081,3064516129;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129577779;;-160,1935483871;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129527112;;-1506,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522113;;-875,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129509114;;-1340,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508115;;-1430;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129599116;;-1147,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502117;;-1503,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129573118;;-877,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580119;;-1347,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580120;;-1431,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129573121;;-1150,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566122;;-1508;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129571123;;-880,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129584124;;-1212,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129585125;;-1056,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594126;;-1002,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129591127;;-671,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129520128;;-1225,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513129;;-1049,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129591130;;-996,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594131;;-658,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129585132;;-1235;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129584133;;-1053;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129571134;;-992,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566135;;-659,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129573136;;-1236,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580137;;-1059,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129599138;;-989,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502139;;-658,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550140;;-1233,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129555141;;-1059,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129564142;;-994,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129557143;;-663;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546144;;-1233,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129543145;;-1056,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129536146;;-992,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129537147;;-666,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510148;;-1235;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515149;;-1061,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129537150;;-994,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129536151;;-661,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129543152;;-2494,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546153;;-1946,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129557154;;-1329,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129564155;;-719,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129555156;;-607,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550157;;-978,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129529158;;-770,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129528159;;-898,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129528160;;-643,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129529161;;-1600,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522162;;-1319,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129519163;;-716,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508164;;-604,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129501165;;-978,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510166;;-767;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515167;;-924,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129536168;;-658,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129537169;;-1634,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515170;;-1110,7661290323;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129572781;;-213,6088709677;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510171;;-719,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129501172;;-606,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508173;;-979,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129519174;;-763,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522175;;-1326;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
